Startup Name;Industry;Funding Rounds; Investment Amount (USD)  ;Investment Amount (K USD) ; Valuation (USD) ;Valuation (K USD);Number of Investors;Country;Year Founded;Growth Rate (%);Ranking by value;Old;ROI (%);Average investment per round (K USD) 
Startup_1;Blockchain;8; $13.351.658.531 ;13351,66; $6.621.448.041.824.470 ;6621448041,82;50;Germany;2012; 771 ;Superunicorn;13;495926,0061;267,0331706
Startup_2;SaaS;2; $278.149.821.993 ;278149,82; $836.321.410.388.975 ;836321410,39;36;UK;2006; 10.552 ;Superunicorn;19;3005,729986;7726,383944
Startup_3;EdTech;10; $330.903.193.022 ;330903,19; $15.482.697.353.099.000 ;15482697353,10;39;Singapore;2016; 19.047 ;Superunicorn;9;46788,20506;8484,697257
Startup_4;Fintech;5; $405.019.626.912 ;405019,63; $1.268.252.789.217.540 ;1268252789,22;44;France;2021; 944 ;Superunicorn;4;3130,336619;9204,991521
Startup_5;EdTech;9; $164.508.029.464 ;164508,03; $6.887.965.942.865.220 ;6887965942,87;48;India;2011; 1.920 ;Superunicorn;14;41869,08966;3427,250614
Startup_6;EdTech;3; $393.908.857.484 ;393908,86; $11.462.969.525.297.300 ;11462969525,30;38;Singapore;2003; 2.628 ;Superunicorn;22;29099,563;10366,02257
Startup_7;HealthTech;8; $134.924.512.785 ;134924,51; $2.490.393.546.173.330 ;2490393546,17;24;India;2017; 10.498 ;Superunicorn;8;18456,68048;5621,854699
Startup_8;Blockchain;7; $412.895.142.592 ;412895,14; $16.303.568.856.291.600 ;16303568856,29;24;India;2006; 8.913 ;Superunicorn;19;39484,97882;17203,96427
Startup_9;Blockchain;3; $395.004.501.091 ;395004,50; $9.733.266.248.997.320 ;9733266249,00;5;Brazil;2007; 5.799 ;Superunicorn;18;24639,89959;79000,90022
Startup_10;Fintech;10; $48.653.786.328 ;48653,79; $18.692.791.832.252.800 ;18692791832,25;31;USA;2000; 3.116 ;Superunicorn;25;384199,1464;1569,476978
Startup_11;HealthTech;7; $279.719.850.414 ;279719,85; $1.382.664.505.184.500 ;1382664505,18;17;UK;2019; 3.369 ;Superunicorn;6;4942,033192;16454,10885
